"LICENSE NUMBER","PROVIDER NAME","PROVIDER SERVICE TYPE","STREET ADDRESS","CITY","STATE","ZIP","COUNTY","ECC","CCRR","SCHOOL DISTRICT OPERATED PROGRAM","SCHOOL DISTRICT","QUALITY RATING","QUALITY RATING EFFECTIVE DATE","QUALITY RATING EXPIRATION DATE","TOTAL LICENSED CAPACITY","CCCAP FISCAL AGREEMENT STATUS","CCCAP AUTHORIZATION STATUS","LICENSED HOME CAPACITY","LICENSED CENTER INFANT CAPACITY","LICENSED CENTER TODDLER CAPACITY","LICENSED CENTER PRESCHOOL CAPACITY","LICENSED SCHOOL AGE CAPACITY","LICENSED PRESCHOOL AND SCHOOL AGE CAPACITY","LICENSED RESIDENT CAMP CAPACITY","LICENSED NYO CAPACITY","GOVERNING BODY"
"1694465","Thorne Nature Experience","School-Age Child Care Center","1241 Ceres Drive","Lafayette","CO","80026","Boulder","Early Childhood Council of Boulder County","ECC Boulder Co","false","Boulder Valley School District","NA",,,"80","true","false","0","0","0",,"80",,"0","0","NA"
"1694743","Thorne Nature Experience Summer Camp Chautauq","School-Age Child Care Center","355 Ponca Place","Boulder","CO","80303","Boulder","Early Childhood Council of Boulder County","ECC Boulder Co","false","Boulder Valley School District","NA",,,"65","false","false","0","0","0",,"65",,"0","0","Thorne Nature Experience"
"1700681","Impact Sports","School-Age Child Care Center","ONE SUPERIOR DR UNIT B","SUPERIOR","CO","80027","Boulder","Early Childhood Council of Boulder County","ECC Boulder Co","false","BOULDER VALLEY SCHOOL DISTRICT","NA",,,"100","false","false","0","0","0",,"100",,"0","0","NA"
"1701136","Amanda Vogt","Large Family Child Care Home","NA","Wellington","CO","80549","Larimer","Early Childhood Council of Larimer County","ECC of Larimer County","false","Poudre School District","1",,,"8","false","false","8","0","0",,"0",,"0","0","NA"
"1702106","EAST LAKE MONTESSORI","Child Care Center","12585 3rd ST","EastLake","CO","80614","Adams","Early Childhood Partnership of Adams County","Child Care Innovations","false","Adams 12","1",,,"30","false","false",,,,"0",,"30",,,"NA"
"1702648","JCC CAMP SHAI AT GRALAND","School-Age Child Care Center","55 N Clermont ST","Denver","CO","80246","Denver","Denver's Early Childhood Council","Denver's ECC","false","Denver Public Schools","NA",,,"275","false","false","0","0","0",,"275",,"0","0","NA"
"1527476","MESA ELEMENTARY SCHOOL","Preschool Program","9100 Lowell BLVD","Westminster","CO","80030","Adams","Early Childhood Partnership of Adams County","Child Care Innovations","true","Westminster Public Schools","4","07/11/2023","06/30/2029","20","false","false",,,,"0",,"20",,,"NA"
"1676722","LIGHTWAY AT THE RIDGE","Child Care Center","4340 Harlan ST","Wheat Ridge","CO","80033","Jefferson","Triad Early Childhood Council","Child Care Innovations","false","Jefferson County Public School","1",,,"15","false","false","0","5","10",,"0",,"0","0","NA"
"1679384","Denver Child Care Academy","Child Care Center","3145 W Florida BLVD","Denver","CO","80219","Denver","Denver's Early Childhood Council","Denver's ECC","false","DENVER PUBLIC SCHOOLS","4","04/30/2024","09/30/2027","93","true","true","0","18","30","0","0","45","0","0","NA"
"1696651","TINY HEART ACADEMY","Child Care Center","12755 W Cedar DR","Lakewood","CO","80228","Jefferson","Triad Early Childhood Council","Child Care Innovations","false","Jefferson County Public School","2","09/10/2025","09/10/2028","79","true","false","0","21","32","26","0","0","0","0","NA"
