geoid,name,B09001001,"B09001001, Error",B09001002,"B09001002, Error",B09001003,"B09001003, Error",B09001004,"B09001004, Error",B09001005,"B09001005, Error",B09001006,"B09001006, Error",B09001007,"B09001007, Error",B09001008,"B09001008, Error",B09001009,"B09001009, Error",B09001010,"B09001010, Error"
04000US08,Colorado,1240882,530,1239095,590,183435,1875,131949,1877,66415,2258,197301,2772,215923,2729,222066,3067,222006,498,1787,190
05000US08001,"Adams County, CO",133000,,132909,72,19914,705,13998,704,6607,627,19670,1174,23574,1017,25423,1149,23723,33,91,72
05000US08003,"Alamosa County, CO",3902,74,3895,76,458,116,497,117,189,150,673,160,831,211,602,160,645,28,7,15
05000US08005,"Arapahoe County, CO",150051,,149775,43,22211,726,15912,725,7887,800,24551,1068,24770,1135,27766,1154,26678,55,276,43
05000US08007,"Archuleta County, CO",2366,,2358,13,260,91,255,113,168,107,529,166,347,134,386,126,413,56,8,11
05000US08009,"Baca County, CO",772,,772,4,105,22,74,24,43,37,190,38,98,26,146,37,116,10,0,13
05000US08011,"Bent County, CO",894,,894,4,106,30,114,29,29,26,241,78,71,31,173,69,160,35,0,19
05000US08013,"Boulder County, CO",59132,,59027,68,7538,402,5592,400,3130,390,9340,572,10359,584,11241,620,11827,69,105,68
05000US08014,"Broomfield County, CO",15845,,15845,11,2036,195,1432,195,939,183,2355,282,2872,247,3035,288,3176,47,0,31
05000US08015,"Chaffee County, CO",2895,87,2893,87,230,131,553,99,131,85,406,121,587,107,501,176,485,43,2,5
05000US08017,"Cheyenne County, CO",395,68,389,68,28,17,42,25,35,20,68,28,100,35,61,25,55,27,6,7
05000US08019,"Clear Creek County, CO",1327,113,1316,114,134,42,129,42,42,32,246,80,180,96,256,89,329,54,11,13
05000US08021,"Conejos County, CO",1914,,1914,5,232,48,225,46,92,41,383,103,290,93,367,91,325,3,0,19
05000US08023,"Costilla County, CO",670,53,670,53,76,34,94,46,16,19,133,68,178,57,56,56,117,48,0,13
05000US08025,"Crowley County, CO",774,106,774,106,94,47,47,17,33,22,104,18,186,72,180,47,130,4,0,19
05000US08027,"Custer County, CO",731,150,731,150,55,36,36,36,2,4,40,26,220,120,186,109,192,83,0,19
05000US08029,"Delta County, CO",6051,80,6043,82,725,98,672,106,233,135,994,234,1102,173,1147,237,1170,59,8,17
