GEOID,NAME,variable,estimate,moe
08001,"Adams County, Colorado",number_under_three,19751,750
08001,"Adams County, Colorado",number_three_four,13938,746
08001,"Adams County, Colorado",number_five,6641,715
08001,"Adams County, Colorado",number_six_to_eight,19708,1171
08003,"Alamosa County, Colorado",number_under_three,478,116
08003,"Alamosa County, Colorado",number_three_four,480,120
08003,"Alamosa County, Colorado",number_five,209,192
08003,"Alamosa County, Colorado",number_six_to_eight,666,159
08005,"Arapahoe County, Colorado",number_under_three,22484,771
08005,"Arapahoe County, Colorado",number_three_four,15398,770
08005,"Arapahoe County, Colorado",number_five,7495,760
08005,"Arapahoe County, Colorado",number_six_to_eight,24219,1069
08007,"Archuleta County, Colorado",number_under_three,275,84
08007,"Archuleta County, Colorado",number_three_four,254,77
08007,"Archuleta County, Colorado",number_five,137,91
08007,"Archuleta County, Colorado",number_six_to_eight,435,133
08009,"Baca County, Colorado",number_under_three,111,25
08009,"Baca County, Colorado",number_three_four,65,23
08009,"Baca County, Colorado",number_five,47,34
08009,"Baca County, Colorado",number_six_to_eight,171,51
08011,"Bent County, Colorado",number_under_three,98,31
08011,"Bent County, Colorado",number_three_four,89,23
08011,"Bent County, Colorado",number_five,50,37
08011,"Bent County, Colorado",number_six_to_eight,237,107
08013,"Boulder County, Colorado",number_under_three,7232,420
08013,"Boulder County, Colorado",number_three_four,5548,420
08013,"Boulder County, Colorado",number_five,2874,409
08013,"Boulder County, Colorado",number_six_to_eight,9249,585
08014,"Broomfield County, Colorado",number_under_three,1994,194
08014,"Broomfield County, Colorado",number_three_four,1366,194
08014,"Broomfield County, Colorado",number_five,902,202
08014,"Broomfield County, Colorado",number_six_to_eight,2237,288
08015,"Chaffee County, Colorado",number_under_three,330,133
08015,"Chaffee County, Colorado",number_three_four,384,129
08015,"Chaffee County, Colorado",number_five,120,88
08015,"Chaffee County, Colorado",number_six_to_eight,438,162
08017,"Cheyenne County, Colorado",number_under_three,59,33
08017,"Cheyenne County, Colorado",number_three_four,30,18
08017,"Cheyenne County, Colorado",number_five,26,12
08017,"Cheyenne County, Colorado",number_six_to_eight,60,25
08019,"Clear Creek County, Colorado",number_under_three,141,34
08019,"Clear Creek County, Colorado",number_three_four,113,29
08019,"Clear Creek County, Colorado",number_five,62,41
08019,"Clear Creek County, Colorado",number_six_to_eight,268,80
08021,"Conejos County, Colorado",number_under_three,234,45
08021,"Conejos County, Colorado",number_three_four,225,45
08021,"Conejos County, Colorado",number_five,100,44
08021,"Conejos County, Colorado",number_six_to_eight,365,109
08023,"Costilla County, Colorado",number_under_three,74,22
08023,"Costilla County, Colorado",number_three_four,103,22
08023,"Costilla County, Colorado",number_five,21,20
08023,"Costilla County, Colorado",number_six_to_eight,63,40
08025,"Crowley County, Colorado",number_under_three,91,34
08025,"Crowley County, Colorado",number_three_four,57,30
08025,"Crowley County, Colorado",number_five,26,18
