NAME,sum_kids_eight_under,county,sum_pre_k_total_spots,spot_kids_gap
"Adams County, Colorado",60038,Adams,5434,54604
"Alamosa County, Colorado",1833,Alamosa,163,1670
"Arapahoe County, Colorado",69596,Arapahoe,11741,57855
"Archuleta County, Colorado",1101,Archuleta,82,1019
"Baca County, Colorado",394,Baca,15,379
"Bent County, Colorado",474,Bent,20,454
"Boulder County, Colorado",24903,Boulder,4166,20737
"Broomfield County, Colorado",6499,Broomfield,1149,5350
"Chaffee County, Colorado",1272,Chaffee,184,1088
"Cheyenne County, Colorado",175,Cheyenne,55,120
"Clear Creek County, Colorado",584,Clear Creek,113,471
"Conejos County, Colorado",924,Conejos,90,834
"Costilla County, Colorado",261,Costilla,84,177
"Crowley County, Colorado",273,Crowley,18,255
"Custer County, Colorado",154,Custer,13,141
"Delta County, Colorado",2520,Delta,126,2394
"Denver County, Colorado",65094,Denver,12173,52921
"Dolores County, Colorado",153,Dolores,12,141
"Douglas County, Colorado",38689,Douglas,6031,32658
"Eagle County, Colorado",4871,Eagle,1235,3636
"El Paso County, Colorado",82733,El Paso,8055,74678
"Elbert County, Colorado",2580,Elbert,220,2360
"Fremont County, Colorado",3453,Fremont,308,3145
"Garfield County, Colorado",7169,Garfield,439,6730
"Gilpin County, Colorado",569,Gilpin,110,459
"Grand County, Colorado",1313,Grand,167,1146
"Gunnison County, Colorado",976,Gunnison,90,886
"Hinsdale County, Colorado",79,Hinsdale,15,64
"Huerfano County, Colorado",354,Huerfano,65,289
"Jackson County, Colorado",121,Jackson,15,106
"Jefferson County, Colorado",50387,Jefferson,7564,42823
"Kiowa County, Colorado",143,Kiowa,15,128
"Kit Carson County, Colorado",821,Kit Carson,132,689
"La Plata County, Colorado",4285,La Plata,505,3780
"Lake County, Colorado",639,Lake,10,629
"Larimer County, Colorado",30084,Larimer,2619,27465
"Las Animas County, Colorado",1209,Las Animas,148,1061
"Lincoln County, Colorado",410,Lincoln,20,390
"Logan County, Colorado",1894,Logan,126,1768
"Mesa County, Colorado",15148,Mesa,1332,13816
"Mineral County, Colorado",35,Mineral,10,25
"Moffat County, Colorado",1398,Moffat,238,1160
"Montezuma County, Colorado",2396,Montezuma,223,2173
"Montrose County, Colorado",3852,Montrose,393,3459
"Morgan County, Colorado",3881,Morgan,206,3675
"Otero County, Colorado",1744,Otero,362,1382
"Ouray County, Colorado",173,Ouray,51,122
"Park County, Colorado",942,Park,39,903
"Phillips County, Colorado",566,Phillips,18,548
"Pitkin County, Colorado",842,Pitkin,255,587
"Prowers County, Colorado",1797,Prowers,177,1620
"Pueblo County, Colorado",16758,Pueblo,1370,15388
"Rio Blanco County, Colorado",773,Rio Blanco,12,761
"Rio Grande County, Colorado",1021,Rio Grande,159,862
"Routt County, Colorado",1961,Routt,248,1713
"Saguache County, Colorado",558,Saguache,90,468
"San Juan County, Colorado",49,San Juan,25,24
"San Miguel County, Colorado",443,San Miguel,175,268
"Sedgwick County, Colorado",255,Sedgwick,0,255
"Summit County, Colorado",2470,Summit,432,2038
"Teller County, Colorado",1858,Teller,253,1605
"Washington County, Colorado",572,Washington,32,540
"Weld County, Colorado",42197,Weld,3582,38615
"Yuma County, Colorado",1460,Yuma,151,1309
